,rank,total,schoolInfo,admissionRank,sportsRank,artsRank,uniformedGroupsRank,schoolName,schoolArea,School,Avail,Apply,Ballot,Note
93,94,186,"{'schoolSlug': 'yio-chu-kang-primary-school', 'schoolCode': '1143', 'schoolName': 'Yio Chu Kang Primary School', 'schoolNameZh': '杨厝港小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/yio-chu-kang-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'North', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.yiochukangpri.moe.edu.sg', 'address': '1 Hougang Street 51', 'schoolArea': 'Hougang', 'postalCode': '538720', 'tel': '63851365', 'email': 'admin_yckps@moe.edu.sg', 'latitude': 1.37793264345278, 'longitude': 103.885643682171, 'nearestSlugs': ['hougang-primary-school', 'montfort-junior-school', 'xinmin-primary-school', 'palm-view-primary-school', 'punggol-primary-school', 'north-vista-primary-school', 'rosyth-school', 'anchor-green-primary-school', 'chij-our-lady-of-the-nativity', 'holy-innocents-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'To nurture Confident and Self-Directed Learners who are Keen to Serve', 'schoolVision': 'Empowering Mind, Engaging Heart, Extending Hands', 'schoolEchos': ['In Yio Chu Kang Primary, we believe that every child has the potential to learn and achieve. Guided by our school philosophy, we seek to bring out the best in every child.  We are committed to ignite the joy of learning in every child and provide opportunities for discovery and exploration. We bring up the happy child who is confident, curious and caring. The child will learn to interact well with his peers, think critically and take responsibility for his learning.', ""Learning and teaching in YCKPS is guided by the school's Curriculum Framework. Central to the Curriculum Framework is the school's vision, Empowering Mind, Engaging Heart, Extending Hands. The ultimate goal of our Curriculum is to develop every YCKPS student into the Self-directed Learner, Confident Person, Concerned Citizen, and Active Contributor. The school harnesses five key learning approaches, Differentiation, Authenticity and Relevance, Experiential, Collaboration and Integration, to provide enriching and engaging experiences for the holistic development of our students."", 'Through our academic programmes, we build in every child a strong foundation in literacy and numeracy. Our school-based curriculum creates experiences that enable our learners to see connections across disciplines and acquire competencies such as critical thinking, collaboration and communication skills that will enable them to thrive in the fast-changing future landscape.', ""We imbue in our learners core values so that they grow up to be morally upright individuals who are globally aware while being rooted as Singaporeans. The school's values of Caring, Upright, Progressive and Excellence are constantly reinforced to guide both staff and students in their thoughts, actions and behaviour. We provide opportunities for our students to reflect on the needs of the community and how they could serve others by putting their values in action. Through this, we nurture the 'Youth of Character, Keen to Serve'.""], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",132,47,156,22,Yio Chu Kang Primary School,Hougang,Yio Chu Kang Primary School,105.0,93.0,,
94,95,186,"{'schoolSlug': 'xinghua-primary-school', 'schoolCode': '1205', 'schoolName': 'Xinghua Primary School', 'schoolNameZh': '醒华小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/xinghua-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'South', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.xinghuapri.moe.edu.sg', 'address': '45 Hougang Avenue 1', 'schoolArea': 'Hougang', 'postalCode': '538882', 'tel': '62889121', 'email': 'xinghua_ps@moe.edu.sg', 'latitude': 1.35790893608186, 'longitude': 103.890465047334, 'nearestSlugs': ['holy-innocents-primary-school', 'paya-lebar-methodist-girls-school-primary', 'xinmin-primary-school', 'montfort-junior-school', 'chij-our-lady-of-the-nativity', 'punggol-primary-school', 'yio-chu-kang-primary-school', 'zhonghua-primary-school', 'rosyth-school', 'hougang-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Physical impairment', 'Allied educators (Learning and behavioural support)'], 'schoolMission': 'We will provide Quality Teaching and Learning so that our pupils are rooted in values and stretched in their potential.', 'schoolVision': 'An Innovative School of Discerning Learners and Caring Leaders', 'schoolEchos': ['Xinghua Primary School is committed to growing pupils to be caring and also passionate about learning. We are committed to providing diverse learning opportunities which challenge students and yet offer happy learning moments. Our programmes, guided by sound processes, allow pupils opportunities to learn through new experiences.  Through a culture of care and innovation, our pupils are immersed in an environment that equips them with the 21st Century Competencies.'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",132,46,76,109,Xinghua Primary School,Hougang,Xinghua Primary School,197.0,39.0,,
95,96,186,"{'schoolSlug': 'cedar-primary-school', 'schoolCode': '1211', 'schoolName': 'Cedar Primary School', 'schoolNameZh': '四德小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/cedar-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'South', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.cedarpri.moe.edu.sg', 'address': '15 Cedar Avenue', 'schoolArea': 'Toa Payoh', 'postalCode': '349700', 'tel': '62885633', 'email': 'cedar_ps@moe.edu.sg', 'latitude': 1.33558842561171, 'longitude': 103.875620790518, 'nearestSlugs': ['canossa-catholic-primary-school', 'st-andrew-s-junior-school', 'yangzheng-primary-school', 'paya-lebar-methodist-girls-school-primary', 'bendemeer-primary-school', 'pei-chun-public-school', 'st-gabriel-s-primary-school', 'geylang-methodist-school-primary', 'first-toa-payoh-primary-school', 'hong-wen-school'], 'schoolStatus': [], 'specialNeeds': ['Physical impairment', 'Allied educators (Learning and behavioural support)'], 'schoolMission': 'Nurturing Minds. Inspiring Hearts. Empowering Lives.', 'schoolVision': 'Joyful Learners, Responsible Citizens, Creative Leaders in a Connected Community', 'schoolEchos': ['The school aspires to groom every Cedarian into individuals with robust character, rooted in values. Every Cedarian also understands that learning never stops. Each of them loves learning and will pursue continuous learning throughout his/her life.', 'We are committed to developing Cedarians into individuals who take ownership of their learning and participate actively in lessons.', 'Our CEDAR Values:', '- Kindess', '- Integrity', '- Resilience', '- Responsibility', '- Creativity'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",132,33,86,113,Cedar Primary School,Toa Payoh,Cedar Primary School,145.0,74.0,,
96,97,186,"{'schoolSlug': 'de-la-salle-school', 'schoolCode': '5008', 'schoolName': 'De La Salle School', 'schoolNameZh': '德喇撒学校', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/de-la-salle-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'West', 'schoolType': 'Government-Aided School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.delasalle.moe.edu.sg', 'address': '11 Choa Chu Kang St 52', 'schoolArea': 'Choa Chu Kang', 'postalCode': '689285', 'tel': '67667675', 'email': 'dlss@moe.edu.sg', 'latitude': 1.39470782963993, 'longitude': 103.743201812831, 'nearestSlugs': ['kranji-primary-school', 'yew-tee-primary-school', 'unity-primary-school', 'south-view-primary-school', 'teck-whye-primary-school', 'concord-primary-school', 'chua-chu-kang-primary-school', 'west-view-primary-school', 'west-spring-primary-school', 'greenridge-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Physical impairment', 'Allied educators (Learning and behavioural support)'], 'schoolMission': 'Enabling youth in a Lasallian community to learn how to learn and to learn how to live; empowering them to be men of integrity and men for others', 'schoolVision': 'Lifelong Learners, Caring Citizens', 'schoolEchos': ['De La Salle School was founded in 1952 by the De La Salle Brothers, and is one of the eight Christian Brothers Schools (CBS) in Singapore. The School takes pride in providing an all-inclusive environment for students (Lasallians) and staff of all races and religions to learn and work together.  The School believes that all Lasallians have the faith and zeal to learn and live to the best of their ability.  They can also serve and show care for others and in particular the last, the lost and the least in the community.', ""The School promotes a positive and flourishing school culture where staff, parents and Lasallians take ownership of their own learning and well-being, to know that they can make positive choices of everything in their lives if they can practise mindfulness and gratitude. The school focuses on building a De La Salle School brand of quality work, service and relationships that ensure professionalism and uplifting Lasallians' and staff morale.""], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': ['st-joseph-s-institution', 'st-patrick-s-school']}",100,142,116,18,De La Salle School,Choa Chu Kang,De La Salle School,29.0,48.0,Y,Balloting will be conducted for Singapore Citizen children residing outside 2km of the school.
97,98,186,"{'schoolSlug': 'endeavour-primary-school', 'schoolCode': '1252', 'schoolName': 'Endeavour Primary School', 'schoolNameZh': '毅勤小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/endeavour-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'North', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://endeavourpri.moe.edu.sg', 'address': '10 Admiralty Link', 'schoolArea': 'Sembawang', 'postalCode': '757521', 'tel': '64824650', 'email': 'endeavour_ps@moe.edu.sg', 'latitude': 1.45403837499303, 'longitude': 103.817436231731, 'nearestSlugs': ['canberra-primary-school', 'northoaks-primary-school', 'wellington-primary-school', 'sembawang-primary-school', 'riverside-primary-school', 'greenwood-primary-school', 'admiralty-primary-school', 'evergreen-primary-school', 'ahmad-ibrahim-primary-school', 'yishun-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'To provide a unique schooling experience in a  caring community to  develop every child in the Cognitive, Aesthetic, Moral, Physical and Social (CAMPS) domains.', 'schoolVision': 'A Leading School of Vibrant Learners, Rooted in Good Values', 'schoolEchos': ['In Endeavour, we prepare our students to be ready for the future; as a school, we are innovative;', 'in what we do, we are child-centric; and we want our students to show excellence in all that they do.', 'The school is guided by a simple Philosophy: ""In all that we do, it is for the students, and in what we do, we want to do it well."" There is a concerted effort among staff to be student-centric and to do our best to enable all students to succeed.', 'School Vision:  A Leading School of Vibrant Learners, Rooted in Good Values', '- ""A Leading School"": To lead with innovative practices and be a school of excellence.', '- ""Vibrant Learners"": To learn with passion and to be developed in the 21st CC (in particular, Curiosity, Confidence & Collaboration) to take on the challenges of the future.', '-""Rooted in Good Values"": To live by school values of diligence, perseverance, innovation, integrity, compassion, respect and responsibility; and to be of exemplary character', 'School Mission: To provide a unique schooling experience in a caring community to develop every child in the Cognitive, Aesthetics, Moral, Physical and Social (CAMPS) domains.', '- We believe in building a culture of care in fulfilling our mission', '- We develop our students to be cognitively abled, aesthetically attuned, morally upright, physically active and socially responsible.', 'School Strategic Thrusts (ST) to support the realisation of School Vision are:', '- ST 1: Nurturing students to become citizens of fine character', '- ST 2: Inspiring students to become vibrant learners', '- ST 3: Growing staff to lead in personal and professional excellence', 'Through our programmes, in particular the LLP and ALP, our school continues to strengthen our identity in the community as a school of innovative practices in providing holistic education for our pupils.'], 'motherTongues': ['Chinese', 'Malay'], 'affiliatedSchools': []}",131,113,65,57,Endeavour Primary School,Sembawang,Endeavour Primary School,95.0,72.0,,
99,100,186,"{'schoolSlug': 'bendemeer-primary-school', 'schoolCode': '1129', 'schoolName': 'Bendemeer Primary School', 'schoolNameZh': '明智小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/bendemeer-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'South', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.bendemeerpri.moe.edu.sg/', 'address': '91 Bendemeer Road', 'schoolArea': 'Kallang', 'postalCode': '339948', 'tel': '62982911', 'email': 'bendemeer_ps@moe.edu.sg', 'latitude': 1.32181250780476, 'longitude': 103.865404167629, 'nearestSlugs': ['hong-wen-school', 'st-andrew-s-junior-school', 'pei-chun-public-school', 'canossa-catholic-primary-school', 'cedar-primary-school', 'farrer-park-primary-school', 'geylang-methodist-school-primary', 'stamford-primary-school', 'st-joseph-s-institution-junior', 'first-toa-payoh-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Physical impairment', 'Allied educators (Learning and behavioural support)'], 'schoolMission': 'Nurturing and inspiring students to love learning, lead confidently, and make a difference in the lives of others', 'schoolVision': 'A gracious community of passionate learners and confident leaders', 'schoolEchos': ['Our philosophy: To bring out the best in every child', 'Culture: ASPIRE', 'A: Adaptability- Being able to adjust to new conditions', 'S: Self-Discipline-The ability to control your feelings and actions', 'P: Passion-To have an intense enthusiasm for something', 'I:Integrity-Integrity is to live with moral and ethical principles. The students are to have the quality of being honest, fair and good', 'R:Resilience-Being resilient is to be able to withstand or recover quickly from difficult conditions', 'E:Empathy- Empathy is the ability to understand and share the feelings, thoughts and attitudes of someone else', 'We believe that every Bendemeer student will have a strong desire to achieve and to be the best that they can be and can be nurtured to imbue the ASPIRE values that will anchor them in the future world.', 'We believe that living by our school values, represented by the acronym, ASPIRE, will serve to guide Bendemeer students in their relationships and decision-making as they navigate through the complexities of life.'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",132,37,40,158,Bendemeer Primary School,Kallang,Bendemeer Primary School,74.0,47.0,,
101,102,186,"{'schoolSlug': 'first-toa-payoh-primary-school', 'schoolCode': '1610', 'schoolName': 'First Toa Payoh Primary School', 'schoolNameZh': '大智小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/first-toa-payoh-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'South', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.firsttoapayohpri.moe.edu.sg', 'address': '7 Lorong 8 Toa Payoh', 'schoolArea': 'Toa Payoh', 'postalCode': '319252', 'tel': '62567822', 'email': 'ftpps@moe.edu.sg', 'latitude': 1.34032299527313, 'longitude': 103.85552990727, 'nearestSlugs': ['guangyang-primary-school', 'pei-chun-public-school', 'kheng-cheng-school', 'kuo-chuan-presbyterian-primary-school', 'st-gabriel-s-primary-school', 'st-andrew-s-junior-school', 'yangzheng-primary-school', 'marymount-convent-school', 'chij-primary-toa-payoh', 'catholic-high-school'], 'schoolStatus': [], 'specialNeeds': ['Physical impairment', 'Allied educators (Learning and behavioural support)'], 'schoolMission': 'To nurture every child to his best.', 'schoolVision': 'A Caring and Creative Learning Community in the Pursuit of Excellence', 'schoolEchos': ['First Toa Payoh Primary School (FTPPS) was established in 1968 at Lorong 1, Toa Payoh.  On 2 January 2002, the school was relocated to its current premise at Lorong 8, Toa Payoh. Being the first school in Toa Payoh, the school retained its distinctive name.', 'FTPPS believes that Every Child Matters and Deserves an Education. It is with this belief that we partner our key stakeholders in our mission to nurture every student in FTPPS to his best potential and to realise the school vision of  a caring and creative learning community in the pursuit of excellence.', 'In all our endeavours, we anchor in our school values of Respect, Responsibility, Love, Integrity and Perseverance (R2 LIP). The school strives to unleash the potential of every student in FTPPS through joy for learning.'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",132,69,160,9,First Toa Payoh Primary School,Toa Payoh,First Toa Payoh Primary School,123.0,10.0,,
102,103,186,"{'schoolSlug': 'junyuan-primary-school', 'schoolCode': '1727', 'schoolName': 'Junyuan Primary School', 'schoolNameZh': '俊源小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/junyuan-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'East', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.junyuanpri.moe.edu.sg', 'address': '2 Tampines Street 91', 'schoolArea': 'Tampines', 'postalCode': '528906', 'tel': '67830375', 'email': 'junyuan_ps@moe.edu.sg', 'latitude': 1.34787051230886, 'longitude': 103.939220537934, 'nearestSlugs': ['st-hilda-s-primary-school', 'tampines-primary-school', 'poi-ching-school', 'yumin-primary-school', 'chongzheng-primary-school', 'angsana-primary-school', 'st-anthony-s-canossian-primary-school', 'gongshang-primary-school', 'changkat-primary-school', 'red-swastika-school'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'Nurturing Every Child in a Vibrant and Caring Environment where Talents Blossom', 'schoolVision': 'Future-Ready Learners, Leaders of Character', 'schoolEchos': [""In 2019, East View Primary School merged with Junyuan Primary School.  The merged school is known as Junyuan Primary School and operates from it's current site."", 'East View Primary School has a rich history of 31 years since its establishment in January 1987, being one of the earliest primary schools set up in the Tampines Town.  Since its inception in 1987, the school has sowed the seeds of hearts and minds that brought forth multiple reaping of harvests for its pupils.', 'Junyuan Primary School adopted its name from Choon Guan Primary School that was renamed Junyuan Primary School in June 1986 and closed in December 1986. The name Junyuan Primary School was subsequently revived and opened in the current site at 2 Tampines Street 91 in January 1988.  Thirty years later, JYPS has established itself as one of the choice schools in Tampines.', 'The merged school encompasses the efforts, strengths and best practices of both merging schools and a rich culture and combined history of 61 years. A strong foundation has been set for this transition - the camaraderie and friendships that the pupils and staff have forged during the combined activities and events in 2018 will take us forward. As JYPS grows larger in strength, we seize the opportunities the merged school now enjoys and aim to take the school forward to greater heights.', 'With the merger, programmes from both schools are integrated to strengthen the holistic experience for our pupils. The Applied Learning Programme, Developing Confident Communicators - Student DJ, continues to flourish in the different language departments. Our pupils will also take the stage in learning to produce digital music through the Learning for Life Programme, Digital Music Lessons. Through these two programmes, pupils will learn skills to prepare them for the future while developing values - Excellence, Respect, Resilience, Responsibility, Care & Compassion and Harmony - that will anchor them in decision-making.'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",92,86,87,119,Junyuan Primary School,Tampines,Junyuan Primary School,35.0,70.0,Y,Balloting will be conducted for Singapore Citizen children residing within 1km of the school.
104,105,186,"{'schoolSlug': 'boon-lay-garden-primary-school', 'schoolCode': '1640', 'schoolName': 'Boon Lay Garden Primary School', 'schoolNameZh': '文园小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/boon-lay-garden-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'West', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://boonlaygardenpri.moe.edu.sg', 'address': '20 Boon Lay Drive', 'schoolArea': 'Jurong West', 'postalCode': '649930', 'tel': '63160998', 'email': 'blgps@moe.edu.sg', 'latitude': 1.34317853793319, 'longitude': 103.713280889452, 'nearestSlugs': ['rulang-primary-school', 'lakeside-primary-school', 'shuqun-primary-school', 'corporation-primary-school', 'westwood-primary-school', 'west-grove-primary-school', 'jurong-west-primary-school', 'frontier-primary-school', 'pioneer-primary-school', 'jurong-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'Together we nurture for a better future', 'schoolVision': 'The garden where diversity blossoms', 'schoolEchos': ['In Boon Lay Garden Primary School - the Garden where diversity blossoms, we believe that every child is unique and deserves a vibrant learning environment to pursue his/her passion, discover strengths and maximize potential.  We aim to nurture students who are Future Ready with Strong Fundamentals - each a Thinker, Leader and Contributor imbued in values and equipped with knowledge, skills and competencies.', 'We embrace all our students who come from diverse backgrounds and demonstrate the culture of care by providing them a safe and nurturing environment. Teachers establish positive teacher-student relationships so that they feel secured and happy. This positive bond with the students creates supportive spaces for their learning and well-being.', ""We believe in developing students who are rooted in values. The school's character education programme anchored on our CAREs values (Cooperation, A* Attitude, Respect, Effort Leading to Success in Everything We Do) aims to nurture students who exhibit these values in the school and beyond. Teachers demonstrate CAREs values for students to observe and learn from examples."", 'We are a school that seeks to maximize the diverse talents and interests of each child by providing a total learning experience in the cognitive, social moral, aesthetic and leadership domains. We inspire our students to achieve their dreams. We create a vibrant learning institution where both students and staff are holistically developed to be the best they can be to embrace the future.'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",132,165,69,11,Boon Lay Garden Primary School,Jurong West,Boon Lay Garden Primary School,187.0,34.0,,
105,106,186,"{'schoolSlug': 'west-view-primary-school', 'schoolCode': '1748', 'schoolName': 'West View Primary School', 'schoolNameZh': '维新小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/west-view-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'West', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.westviewpri.moe.edu.sg', 'address': '31 Senja Road', 'schoolArea': 'Bukit Panjang', 'postalCode': '677742', 'tel': '67600178', 'email': 'wvps@moe.edu.sg', 'latitude': 1.38367582003361, 'longitude': 103.760240434318, 'nearestSlugs': ['teck-whye-primary-school', 'greenridge-primary-school', 'west-spring-primary-school', 'zhenghua-primary-school', 'beacon-primary-school', 'bukit-panjang-primary-school', 'south-view-primary-school', 'yew-tee-primary-school', 'kranji-primary-school', 'chij-our-lady-queen-of-peace'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'A vibrant school where we strive to do our best', 'schoolVision': 'Passionate Learners, Confident Leaders', 'schoolEchos': ['School Philosophy', 'Every West Viewan, A Talented Pupil', 'School Motto', 'Aim High', 'Values', 'I-CARE', 'Integrity to uphold', 'Commitment to learning', 'Aspiration to achieve', 'Responsibility, our personal growth', 'Excellence, our pursuit'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",132,56,128,63,West View Primary School,Bukit Panjang,West View Primary School,49.0,26.0,,
106,107,186,"{'schoolSlug': 'zhonghua-primary-school', 'schoolCode': '1235', 'schoolName': 'Zhonghua Primary School', 'schoolNameZh': '中华小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/zhonghua-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'South', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.zhonghuapri.moe.edu.sg', 'address': '12 Serangoon Avenue 4', 'schoolArea': 'Serangoon', 'postalCode': '556095', 'tel': '62835413', 'email': 'zhonghua_ps@moe.edu.sg', 'latitude': 1.3602032970505, 'longitude': 103.869762438084, 'nearestSlugs': ['chij-our-lady-of-good-counsel', 'yangzheng-primary-school', 'st-gabriel-s-primary-school', 'rosyth-school', 'townsville-primary-school', 'xinmin-primary-school', 'kuo-chuan-presbyterian-primary-school', 'paya-lebar-methodist-girls-school-primary', 'teck-ghee-primary-school', 'hougang-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Physical impairment', 'Allied educators (Learning and behavioural support)'], 'schoolMission': 'Ignite Passion for Learning, Nurture Strength of Character', 'schoolVision': 'A Learner . A Thinker . A Leader', 'schoolEchos': ['The school strongly believes in delivering holistic education to better prepare our children for the future. Beyond the academics and examinations, we believe children need to find joy in learning and be grounded in the right values to help strengthen the Singapore Spirit in them. We also believe in building resilience among our students, so they will develop a spirit of daring to try and to explore. These, we believe, are competencies that will equip them for work and for life.'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",132,109,77,63,Zhonghua Primary School,Serangoon,Zhonghua Primary School,108.0,30.0,,
107,108,186,"{'schoolSlug': 'greenwood-primary-school', 'schoolCode': '1765', 'schoolName': 'Greenwood Primary School', 'schoolNameZh': '学林小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/greenwood-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'North', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.greenwoodpri.moe.edu.sg', 'address': '11 Woodlands Dr 62', 'schoolArea': 'Woodlands', 'postalCode': '737942', 'tel': '63666158', 'email': 'greenwood_ps@moe.edu.sg', 'latitude': 1.43989958331785, 'longitude': 103.804725587384, 'nearestSlugs': ['admiralty-primary-school', 'riverside-primary-school', 'woodlands-ring-primary-school', 'evergreen-primary-school', 'woodlands-primary-school', 'woodgrove-primary-school', 'canberra-primary-school', 'qihua-primary-school', 'sembawang-primary-school', 'innova-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'To nurture individuals into lifelong learners and responsible citizens through a well-rounded education.', 'schoolVision': 'Motivated Learners, Critical Thinkers, Leaders of Character .', 'schoolEchos': [""School Values - 'WE GR2Ow' represents our school's core values in which every individual strives to be Wise, Enterprising, Gracious, Responsible, Resilient and Open to achieve the school's mission and deepen the Singapore Spirit."", 'School Motto - Guidance to Wisdom', ""The school motto is derived from the initials of GreenWood, GW. It encapsulates the school's belief that lifelong learning anchored on strong values coupled with thinking skills is the foundation to guide our pupils to meet the challenges of the future."", 'School Culture - We C4ARE IN GWPS', 'GWPS is a school where pupils and staff have meaningful fun while developing integrity, compassion, commitment and positive attitudes towards lifelong learning. The pupils and staff are actively involved in coaching, continuous learning and innovation to make a difference in themselves and in others. With our niche programmes* for student leadership and community, we strive for our pupils and staff to develop Pride, Happiness and Confidence to meet the challenges of the future.', 'Learning Environment - POISE (High Pupil Ownership, Innovative Teaching & Learning, High Stakeholder Engagement)', 'GWPS fosters joy in learning through high pupil ownership and innovative teaching and learning. The pupils construct knowledge and apply various thinking skills and systems to derive alternative solutions and perspectives which relate to real-life problems they experience in the community. The school partners stakeholders to create platforms for pupils to practise entrepreneurship and innovation so that they have the confidence to learn new things and take on new challenges in their life.'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",125,93,144,22,Greenwood Primary School,Woodlands,Greenwood Primary School,31.0,33.0,Y,Balloting will be conducted for Singapore Citizen children residing within 1km of the school.
108,109,186,"{'schoolSlug': 'tampines-primary-school', 'schoolCode': '1201', 'schoolName': 'Tampines Primary School', 'schoolNameZh': '淡滨尼小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/tampines-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'East', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.tampinespri.moe.edu.sg', 'address': '250 Tampines Street 12', 'schoolArea': 'Tampines', 'postalCode': '529426', 'tel': '67831190', 'email': 'tpps@moe.edu.sg', 'latitude': 1.34977870805929, 'longitude': 103.944004684986, 'nearestSlugs': ['junyuan-primary-school', 'st-hilda-s-primary-school', 'yumin-primary-school', 'chongzheng-primary-school', 'angsana-primary-school', 'gongshang-primary-school', 'tampines-north-primary-school', 'poi-ching-school', 'changkat-primary-school', 'st-anthony-s-canossian-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Physical impairment', 'Allied educators (Learning and behavioural support)'], 'schoolMission': 'To Nurture Life-long Learners of Good Character', 'schoolVision': 'A Community School of Excellence: Caring Hearts, Creative Minds', 'schoolEchos': ['The school philosophy is Every Student Can Learn and Excel. We believe that each student through his effort with the strong collaboration of home and school will be able to learn and in time to come have personal mastery.', 'The school culture is one of Innovation, Care and Excellence. (ICE)', 'The school subscribes to the Core Theory of Success that quality relationships lead to quality action and quality results.The school values Learning, Relationship and the Individual.', 'As a community school it aspires to be a blessing and a contribution to the community.'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",77,154,29,140,Tampines Primary School,Tampines,Tampines Primary School,5.0,19.0,Y,Balloting will be conducted for Singapore Citizen children residing within 1km of the school.
